user_id,registration_date,age,gender,country,language,account_age_days,subscriber_count,subscription_count,total_watch_time_minutes,total_video_views,total_likes_given,total_shares_given,total_comments_given,preferred_categories,avg_session_length_minutes,is_premium,primary_device,primary_platform,last_active
user_000001,2024-11-25T06:30:12.060Z,35,F,US,nl,262,939,454,6416,1504,266,90,43,Sports;News;Gaming;DIY,22,false,mobile,web,2025-08-12T09:07:28.557Z
user_000002,2024-08-12T12:34:26.902Z,41,O,ID,ar,367,825,445,3364,4009,567,126,245,Dance;Sports;Lifestyle;Fashion;Science,13,false,mobile,android,2025-08-12T02:33:28.021Z
user_000003,2024-03-22T23:55:25.208Z,41,M,VN,ar,509,3845,429,15726,5291,580,114,284,Music;Art,5,false,mobile,ios,2025-08-12T16:33:41.474Z
user_000004,2020-09-17T07:10:59.299Z,18,M,IR,th,1792,259,119,12258,7317,852,134,227,Food;Education;Gaming;Technology,22,false,mobile,ios,2025-08-10T21:13:38.927Z
user_000005,2024-12-30T23:17:55.623Z,23,O,PH,hi,226,488,184,15384,6498,906,202,309,Comedy;Dance;Motivation,20,false,tablet,android,2025-08-11T12:38:54.843Z
user_000006,2020-09-22T12:13:39.285Z,28,F,IT,it,1787,668,147,3190,3847,696,44,177,Sports;Food;Comedy;Science;News,14,false,desktop,ios,2025-08-14T00:12:18.461Z
user_000007,2023-09-04T07:06:04.268Z,45,M,FR,ko,710,521,492,6796,2184,241,84,113,News;Comedy;Dance,10,true,tablet,web,2025-08-12T00:41:58.606Z
user_000008,2025-03-19T00:35:07.586Z,44,O,PH,ja,148,3590,19,10554,5643,508,247,359,Beauty;Comedy,11,false,desktop,android,2025-08-10T06:53:52.052Z
user_000009,2024-01-17T16:16:19.548Z,44,F,PK,ar,575,785,233,8997,1159,192,38,82,Dance;News;Fashion,17,false,mobile,android,2025-08-12T14:49:45.307Z
user_000010,2021-03-10T05:42:00.044Z,17,O,PH,de,1618,941,159,15942,8274,870,237,466,Music;Dance;Education,15,false,tablet,android,2025-08-14T09:04:01.667Z
user_000011,2024-01-16T07:15:51.175Z,37,F,NG,zh,576,628,356,6934,2789,229,73,166,Gaming;Art;Dance,22,false,tablet,android,2025-08-08T12:45:53.877Z
user_000012,2024-04-21T03:36:34.191Z,33,M,BD,hi,480,530,391,7733,5321,887,129,489,Kids;Dance;Fitness;Sports,8,false,mobile,android,2025-08-09T03:54:59.650Z
user_000013,2024-04-04T05:53:37.199Z,27,M,DE,ko,497,881,151,8168,3549,502,48,122,Gaming;Sports;Motivation;Music,21,false,tablet,ios,2025-08-14T04:54:29.082Z
user_000014,2023-05-28T10:40:03.605Z,22,M,KR,th,809,458,165,15189,4295,276,162,341,Lifestyle;Sports;Gaming,14,false,desktop,android,2025-08-13T05:01:52.245Z
user_000015,2021-08-25T21:01:22.296Z,27,M,GB,pl,1450,274,151,1898,4486,532,254,233,Lifestyle;Gaming;News;Fashion;Comedy,6,false,tablet,ios,2025-08-09T15:52:46.603Z
user_000016,2021-03-02T02:57:22.444Z,30,O,ZA,ru,1626,550,102,10659,3965,769,130,301,Comedy;Gaming,5,false,desktop,web,2025-08-10T03:33:25.330Z
