video_id,creator_id,upload_date,category,duration_seconds,days_since_upload,view_count,like_count,comment_count,share_count,has_music,has_text_overlay,has_effects,has_voiceover,is_vertical,video_quality,trending_score,avg_watch_time_seconds,retention_rate,engagement_rate,hashtag_count,description_length,top_country,is_monetized,language
video_0000001,creator_01981,2025-07-27T22:16:27.536Z,Fashion,55,17,1192,82,7,7,true,true,true,false,true,1080p,0.955,37,0.673,0.081,7,141,DE,true,it
video_0000002,creator_01589,2025-06-24T10:15:59.402Z,Kids,40,51,5629,211,69,30,true,true,true,false,true,1080p,0.962,22,0.55,0.055,8,101,BD,false,hi
video_0000003,creator_00809,2025-04-17T09:33:59.468Z,Fashion,20,119,4984,496,56,14,true,true,true,false,true,1080p,0.223,17,0.85,0.114,6,214,FR,true,ru
video_0000004,creator_00592,2025-03-03T06:38:00.604Z,Art,25,164,3423,133,44,37,true,true,true,true,true,720p,0.808,18,0.72,0.063,6,139,MX,true,ko
video_0000005,creator_00241,2025-07-16T21:45:20.014Z,Education,25,29,25189,843,247,224,true,true,true,true,true,1080p,0.283,19,0.76,0.052,5,109,ZA,true,id
video_0000006,creator_01927,2025-03-01T10:01:58.573Z,Kids,25,166,1001,30,12,6,true,true,false,true,true,1080p,0.473,10,0.4,0.048,2,131,US,true,ru
video_0000007,creator_01362,2025-07-02T01:26:49.269Z,DIY,35,43,1015,76,4,8,false,true,true,false,true,1080p,0.684,25,0.714,0.087,5,122,FR,false,it
video_0000008,creator_01446,2025-03-17T10:31:57.136Z,Food,30,150,1001,82,9,7,true,true,true,false,true,1080p,0.175,10,0.333,0.098,9,168,ID,true,vi
video_0000009,creator_00875,2025-06-27T18:01:46.241Z,Sports,55,48,3530,311,32,22,true,false,true,false,true,1080p,0.487,40,0.727,0.103,8,86,IN,true,it
video_0000010,creator_00926,2025-03-11T12:58:20.963Z,Pets,45,156,1044,52,8,1,true,false,false,false,true,720p,0.238,19,0.422,0.058,7,68,MX,false,zh
video_0000011,creator_01028,2025-04-09T22:25:30.902Z,Gaming,15,126,1002,98,4,6,true,false,true,false,true,1080p,0.627,8,0.533,0.108,8,189,PH,true,vi
video_0000012,creator_02564,2025-05-08T15:55:17.023Z,News,60,98,2572,68,11,16,false,false,false,false,true,1080p,0.591,33,0.55,0.037,6,147,IT,false,en
video_0000013,creator_03203,2025-07-05T22:59:36.785Z,Art,20,39,1658,80,8,18,false,false,true,true,true,720p,0.516,7,0.35,0.064,3,228,MX,true,th
video_0000014,creator_04680,2025-03-05T15:29:31.599Z,Dance,30,162,9860,787,48,94,true,false,false,false,true,720p,0.347,23,0.767,0.094,3,174,VN,true,bn
video_0000015,creator_04648,2025-06-16T05:39:03.343Z,Art,30,59,118222,9245,2490,480,true,false,true,false,true,720p,0.221,24,0.8,0.103,4,218,VN,true,pl
video_0000016,creator_01044,2025-04-17T22:02:19.751Z,Fashion,50,119,1001,89,14,7,false,true,true,true,true,720p,0.07,38,0.76,0.11,7,50,PH,true,fr
video_0000017,creator_01261,2025-06-08T01:57:26.162Z,Comedy,20,67,92182,5404,922,819,true,true,true,false,true,1080p,0.226,14,0.7,0.078,8,69,FR,true,ru
video_0000018,creator_00500,2025-05-14T14:19:04.940Z,Technology,30,92,1007,56,11,4,true,false,true,false,true,720p,0.476,24,0.8,0.071,3,229,GB,false,es
video_0000019,creator_03117,2025-06-14T09:12:46.426Z,Fitness,60,61,2597,134,18,26,true,true,true,false,false,1080p,0.212,37,0.617,0.069,7,114,BD,true,vi
video_0000020,creator_00760,2025-06-29T14:33:45.454Z,Motivation,55,46,1311,29,13,2,true,true,false,true,true,720p,0.333,33,0.6,0.034,5,144,MX,true,pt
video_0000021,creator_03335,2025-06-01T07:44:59.764Z,Fashion,30,74,1001,83,6,4,true,true,true,true,true,1080p,0.882,9,0.3,0.093,9,87,PK,false,bn
video_0000022,creator_00920,2025-04-03T13:22:32.169Z,News,25,133,1184,83,19,6,true,false,false,true,true,1080p,0.891,9,0.36,0.091,5,76,BR,true,bn
video_0000023,creator_02405,2025-04-24T21:37:11.300Z,Kids,40,112,1554,63,17,14,true,true,false,true,true,1080p,0.884,14,0.35,0.06,5,223,PH,true,sv
video_0000024,creator_03256,2025-04-19T02:47:00.631Z,Music,45,117,59676,2804,798,151,true,true,false,true,true,1080p,0.812,25,0.556,0.063,6,86,MX,true,id
video_0000025,creator_04739,2025-05-22T23:15:42.687Z,Kids,55,83,3137,283,19,24,true,true,false,false,true,720p,0.132,17,0.309,0.104,5,70,PH,false,ko
video_0000026,creator_01515,2025-06-26T06:33:54.807Z,DIY,25,49,63975,5166,233,505,true,true,true,false,true,720p,0.25,11,0.44,0.092,8,208,JP,true,de
video_0000027,creator_00475,2025-07-22T18:00:25.908Z,Fitness,40,23,1373,39,23,1,true,true,false,true,true,1080p,0.911,12,0.3,0.046,6,76,ID,true,en
video_0000028,creator_02257,2025-03-06T08:07:58.420Z,DIY,25,161,118479,9617,875,846,true,false,true,false,true,1080p,0.35,20,0.8,0.096,8,55,PH,true,fr
video_0000029,creator_02603,2025-06-13T03:09:50.176Z,Motivation,30,62,1032,58,19,3,true,false,false,false,true,1080p,0.806,15,0.5,0.078,2,242,VN,true,id
video_0000030,creator_01981,2025-05-28T16:53:38.064Z,Travel,55,78,1414,114,5,9,true,true,true,true,true,720p,0.982,19,0.345,0.091,6,155,TH,true,fr
video_0000031,creator_04487,2025-05-06T04:33:44.949Z,Art,30,100,31169,2117,602,95,true,false,false,true,true,720p,0.979,24,0.8,0.09,6,131,IT,true,vi
video_0000032,creator_03438,2025-06-03T19:23:37.533Z,Technology,15,72,11374,720,233,88,true,true,true,true,true,720p,0.309,8,0.533,0.092,5,57,IR,true,zh
video_0000033,creator_00177,2025-08-10T20:31:57.348Z,News,55,4,1032,93,12,9,true,false,false,false,true,1080p,0.609,28,0.509,0.11,6,174,JP,true,ru
video_0000034,creator_00645,2025-07-06T16:09:41.315Z,Gaming,35,39,1001,32,4,3,false,true,true,false,true,1080p,0.069,14,0.4,0.039,8,152,ID,true,es
video_0000035,creator_00313,2025-03-09T00:21:04.421Z,Travel,55,158,95276,9125,1148,702,true,false,true,false,true,1080p,0.701,36,0.655,0.115,2,86,KR,true,tr
video_0000036,creator_00414,2025-07-09T16:55:47.841Z,Lifestyle,15,36,61346,1926,584,251,false,false,true,true,false,1080p,0.123,7,0.467,0.045,5,249,FR,true,th
video_0000037,creator_04159,2025-08-11T06:11:54.019Z,Fashion,20,3,1001,54,7,8,true,true,true,false,true,1080p,0.895,7,0.35,0.069,5,236,MX,false,ja
video_0000038,creator_00874,2025-03-15T05:03:43.415Z,Gaming,25,152,2788,84,13,14,true,true,false,false,true,1080p,0.976,12,0.48,0.04,5,193,VN,false,es
video_0000039,creator_03927,2025-04-17T04:03:01.773Z,Science,55,119,1014,52,20,7,true,false,true,true,true,1080p,0.565,29,0.527,0.078,8,200,ID,true,ja
video_0000040,creator_00894,2025-06-29T03:54:09.235Z,Food,40,46,1332,50,29,13,true,true,true,false,true,720p,0.899,25,0.625,0.069,8,241,IT,false,sv
video_0000041,creator_03800,2025-07-24T01:45:31.282Z,Fitness,60,21,1001,63,20,6,true,false,false,true,true,1080p,0.746,36,0.6,0.089,9,70,IR,true,th
video_0000042,creator_00563,2025-06-01T05:07:49.008Z,Travel,50,74,11406,350,69,88,false,true,true,false,true,1080p,0.147,31,0.62,0.044,6,109,MX,true,sv
video_0000043,creator_04347,2025-05-25T06:46:08.993Z,Gaming,55,81,1021,59,22,11,true,true,true,false,true,720p,0.334,26,0.473,0.09,7,129,PK,true,en
video_0000044,creator_03401,2025-05-02T17:37:47.779Z,Lifestyle,25,104,1834,119,21,5,true,true,true,true,true,1080p,0.427,10,0.4,0.079,4,249,ZA,false,it
video_0000045,creator_02219,2025-08-07T16:30:25.585Z,Motivation,50,7,117077,10422,1535,1070,true,true,true,true,true,1080p,0.303,37,0.74,0.111,3,139,TR,false,ja
video_0000046,creator_03831,2025-06-23T12:38:31.717Z,Food,30,52,106883,4347,1957,137,true,true,true,false,true,1080p,0.716,13,0.433,0.06,9,121,DE,true,ru
video_0000047,creator_00206,2025-07-03T05:07:13.112Z,Music,40,42,1748,72,36,15,true,true,false,false,true,1080p,0.375,13,0.325,0.07,2,225,NG,false,pl
video_0000048,creator_01044,2025-03-25T22:48:26.466Z,Food,50,141,1077,38,6,10,true,true,true,true,true,1080p,0.867,15,0.3,0.05,3,78,KR,true,sv
video_0000049,creator_01961,2025-05-01T22:17:51.528Z,Food,30,104,80155,5476,1294,715,true,true,true,false,true,1080p,0.517,13,0.433,0.093,8,201,TH,true,es
video_0000050,creator_03168,2025-08-06T22:46:20.422Z,Sports,50,7,1019,46,21,9,true,true,false,true,true,720p,0.847,25,0.5,0.075,3,241,JP,true,zh
video_0000051,creator_04470,2025-03-25T06:00:49.034Z,Music,25,142,24706,1371,422,166,false,true,true,false,true,1080p,0.252,16,0.64,0.079,5,143,GB,true,nl
video_0000052,creator_00932,2025-02-21T07:06:41.187Z,Food,25,174,1013,98,3,3,true,true,false,false,false,1080p,0.382,11,0.44,0.103,2,127,PH,true,hi
video_0000053,creator_04867,2025-04-01T05:14:21.086Z,Travel,40,135,1096,40,22,4,true,true,false,false,true,720p,0.874,26,0.65,0.06,4,112,BR,false,vi
video_0000054,creator_04903,2025-04-03T15:07:24.958Z,Sports,35,133,94936,2994,2155,452,true,true,true,false,true,1080p,0.596,23,0.657,0.059,8,200,BR,true,en
video_0000055,creator_02540,2025-07-23T09:56:51.624Z,DIY,25,22,1484,140,31,5,true,false,true,true,true,1080p,0.052,10,0.4,0.119,5,200,DE,true,ko
video_0000056,creator_00668,2025-07-10T15:00:48.651Z,Food,60,35,4347,166,88,32,true,true,true,false,true,1080p,0.304,49,0.817,0.066,7,81,DE,true,ko
video_0000057,creator_04948,2025-04-12T11:04:57.336Z,Sports,40,124,16190,1113,144,55,true,false,true,false,true,720p,0.883,30,0.75,0.081,6,244,VN,true,vi
video_0000058,creator_03293,2025-07-23T17:50:19.416Z,Art,30,22,1003,76,14,8,true,true,true,false,true,1080p,0.135,21,0.7,0.098,9,101,US,false,fr
