interaction_id,user_id,video_id,session_id,timestamp,watch_time_seconds,watch_ratio,target_engaged
int_00000000,user_011733,video_0001369,session_00000001,2025-07-29T06:15:15.088Z,37,0.74,1
int_00000001,user_004478,video_0020797,session_00000001,2025-08-14T10:05:56.487Z,50,1.0,1
int_00000002,user_013708,video_0011401,session_00000001,2025-08-04T07:47:09.045Z,3,0.2,0
int_00000003,user_017762,video_0022813,session_00000001,2025-08-07T10:46:07.763Z,8,0.17777777777777778,0
int_00000004,user_017542,video_0007516,session_00000001,2025-08-14T13:49:08.648Z,26,0.7428571428571429,0
int_00000005,user_007288,video_0030665,session_00000001,2025-08-08T20:30:00.016Z,29,0.8285714285714286,1
int_00000006,user_009164,video_0034865,session_00000001,2025-08-07T13:46:26.523Z,20,1.0,1
int_00000007,user_011672,video_0017351,session_00000001,2025-08-08T23:26:14.121Z,40,1.0,0
int_00000008,user_001257,video_0006783,session_00000001,2025-08-11T14:37:52.331Z,37,0.74,0
int_00000009,user_015326,video_0034748,session_00000001,2025-08-10T08:47:35.935Z,35,0.5833333333333334,0
int_00000010,user_002753,video_0027918,session_00000001,2025-08-14T19:41:30.675Z,21,0.84,0
int_00000011,user_002569,video_0022769,session_00000001,2025-08-08T21:21:58.525Z,3,0.2,1
int_00000012,user_001168,video_0027683,session_00000001,2025-08-05T18:33:42.466Z,3,0.05,0
int_00000013,user_012809,video_0004130,session_00000001,2025-07-22T00:37:18.002Z,1,0.02,0
int_00000014,user_016628,video_0001356,session_00000002,2025-08-08T09:12:04.794Z,30,1.0,1
int_00000015,user_009101,video_0029994,session_00000002,2025-08-09T19:20:12.852Z,9,0.6,0
int_00000016,user_001257,video_0031998,session_00000001,2025-08-12T16:51:37.436Z,18,0.72,0
int_00000017,user_011724,video_0003573,session_00000002,2025-08-11T18:37:31.624Z,2,0.1,1
int_00000018,user_013699,video_0022775,session_00000002,2025-07-29T19:27:21.712Z,11,0.18333333333333332,0
int_00000019,user_003615,video_0003969,session_00000002,2025-08-10T23:09:47.905Z,45,1.0,0
